[2025-11-09T14:42:27.743Z] [INFO] 🚀 Starting Apple Documentation Crawler
[2025-11-09T14:42:27.744Z] [INFO] Output directory: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs
[2025-11-09T14:42:27.744Z] [INFO] Change detection: enabled
[2025-11-09T14:42:29.080Z] [INFO] 📄 [1/5000] depth=0 [root] https://developer.apple.com/documentation/
[2025-11-09T14:42:33.139Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/root/documentation.pdf
[2025-11-09T14:42:33.148Z] [INFO] 📄 [2/5000] depth=1 [samplecode] https://developer.apple.com/documentation/samplecode/
[2025-11-09T14:42:36.967Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/samplecode/documentation_samplecode.pdf
[2025-11-09T14:42:36.977Z] [INFO] 📄 [3/5000] depth=1 [accelerate] https://developer.apple.com/documentation/Accelerate
[2025-11-09T14:42:39.152Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/accelerate/documentation_accelerate.pdf
[2025-11-09T14:42:39.160Z] [INFO] 📄 [4/5000] depth=1 [accessibility] https://developer.apple.com/documentation/Accessibility
[2025-11-09T14:42:41.819Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/accessibility/documentation_accessibility.pdf
[2025-11-09T14:42:41.824Z] [INFO] 📄 [5/5000] depth=1 [accessorysetupkit] https://developer.apple.com/documentation/AccessorySetupKit
[2025-11-09T14:42:44.227Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/accessorysetupkit/documentation_accessorysetupkit.pdf
[2025-11-09T14:42:44.234Z] [INFO] 📄 [6/5000] depth=1 [accessorytransportextension] https://developer.apple.com/documentation/AccessoryTransportExtension
[2025-11-09T14:42:46.298Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/accessorytransportextension/documentation_accessorytransportextension.pdf
[2025-11-09T14:42:46.304Z] [INFO] 📄 [7/5000] depth=1 [accountorganizationaldatasharing] https://developer.apple.com/documentation/AccountOrganizationalDataSharing
[2025-11-09T14:42:48.015Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/accountorganizationaldatasharing/documentation_accountorganizationaldatasharing.pdf
[2025-11-09T14:42:48.023Z] [INFO] 📄 [8/5000] depth=1 [accountdatatransfer] https://developer.apple.com/documentation/AccountDataTransfer
[2025-11-09T14:42:50.668Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/accountdatatransfer/documentation_accountdatatransfer.pdf
[2025-11-09T14:42:50.674Z] [INFO] 📄 [9/5000] depth=1 [accounts] https://developer.apple.com/documentation/Accounts
[2025-11-09T14:42:52.383Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/accounts/documentation_accounts.pdf
[2025-11-09T14:42:52.389Z] [INFO] 📄 [10/5000] depth=1 [activitykit] https://developer.apple.com/documentation/ActivityKit
[2025-11-09T14:42:54.165Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/activitykit/documentation_activitykit.pdf
[2025-11-09T14:42:54.171Z] [INFO] 📄 [11/5000] depth=1 [adattributionkit] https://developer.apple.com/documentation/AdAttributionKit
[2025-11-09T14:42:56.222Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/adattributionkit/documentation_adattributionkit.pdf
[2025-11-09T14:42:56.228Z] [INFO] 📄 [12/5000] depth=1 [addressbook] https://developer.apple.com/documentation/AddressBook
[2025-11-09T14:42:57.940Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/addressbook/documentation_addressbook.pdf
[2025-11-09T14:42:57.946Z] [INFO] 📄 [13/5000] depth=1 [addressbookui] https://developer.apple.com/documentation/AddressBookUI
[2025-11-09T14:42:59.660Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/addressbookui/documentation_addressbookui.pdf
